total_loss,IDM_loss,TDM_loss,epoch,created_at,total_loss_epoch,IDM_loss_epoch,TDM_loss_epoch
2.6552329063415527,0.8557876944541931,1.7994450330734253,0,2025-10-23 08:59:27.502395,,,
,,,0,2025-10-23 08:59:53.230078,2.3240954875946045,0.8563928008079529,1.4677026271820068
2.117295503616333,0.8449187278747559,1.2723767757415771,1,2025-10-23 09:02:39.518861,,,
,,,1,2025-10-23 09:03:45.921104,2.2784032821655273,0.8528009057044983,1.4256021976470947
1.7987312078475952,0.8517245650291443,0.9470066428184509,2,2025-10-23 09:06:32.284261,,,
